Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ESNR.CN,"E79 Resources Corp",1.26,0.89,+240.54%,1.32,0.65,2886658,06/14/21
FANS.CN,"Fansunite Entertainment Inc",1.11,0.1,+9.90%,1.15,0.96,3748639,06/14/21
LITT.VN,"Roadman Investments Corp",0.05,0.005,+11.11%,0.05,0.04,1020016,06/14/21
MXR.VN,"Max Resource Corp",0.29,0.055,+23.40%,0.31,0.245,1349676,06/14/21
NHP.VN,"Lumiera Health Inc",0.04,0.015,+60.00%,0.045,0.025,3563605,06/14/21
NUG.VN,"Nulegacy Gold Coporation",0.18,0.045,+33.33%,0.195,0.14,5069675,06/14/21
PHRM.CN,"Pharmather Hldgs Ltd",0.76,0.15,+24.59%,0.82,0.58,2500287,06/14/21
PUL.VN,"Pulse Oil Corp",0.075,0.01,+15.38%,0.075,0.065,2442183,06/14/21
SUGR.VN,"Sugarbud Craft Growers Corp",0.05,0.005,+11.11%,0.05,0.045,2505012,06/14/21
"Downloaded from Barchart.com as of 06-14-2021 09:50pm CDT"
