Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
XERS,4.81,2021/06/25,16:00 EDT,0.48999977,4.37,4.98,4.37,16096749,,,,,,,
GLXY.TO,20.88,2021/06/25,16:00 EDT,-1.4200001,20.55,22.12,20.54,583087,,,,,,,
RAIL,6.34,2021/06/25,16:00 EDT,-0.85999966,6.995,6.995,6.28,2959288,,,,,,,
NBM.V,0.71,2021/06/25,15:59 EDT,0.099999964,0.62,0.77,0.53,4890658,,,,,,,
WELL.TO,7.85,2021/06/25,15:59 EDT,-0.059999943,7.98,7.98,7.82,584711,,,,,,,
BRPHF,16.9987,2021/06/25,15:59 EDT,-1.0195999,17.0,18.0,16.75,181269,,,,,,,
TSU.TO,160.11,2021/06/25,16:00 EDT,-0.3999939,160.51,162.45,159.75,18694,,,,,,,
XLI,102.35,2021/06/25,16:00 EDT,0.19999695,102.23,102.72,102.07,13039342,,,,,,,
XLE,55.34,2021/06/25,16:00 EDT,0.29000092,55.2,55.37,54.885,19164970,,,,,,,
VEA,52.22,2021/06/25,16:00 EDT,0.17000198,52.21,52.22,52.08,5942419,,,,,,,
KRE,67.64,2021/06/25,16:00 EDT,0.76000214,67.14,67.99,66.68,8499143,,,,,,,
IBM,146.84,2021/06/25,16:00 EDT,1.39999,145.38,146.92,144.95,3594218,,,,,,,
COF,159.99,2021/06/25,16:02 EDT,2.4199982,160.54,162.0,159.79,4238375,,,,,,,
CTXR,3.82,2021/06/25,16:00 EDT,-0.120000124,3.86,3.92,3.72,23102006,,,,,,,
MAXR.TO,50.84,2021/06/25,16:00 EDT,0.1800003,50.73,52.37,50.68,145575,,,,,,,
SID,8.72,2021/06/25,16:00 EDT,-0.34999943,9.12,9.26,8.7,10737411,,,,,,,
RSVA,19.37,2021/06/25,16:00 EDT,0.22000122,19.17,19.5,19.17,46648,,,,,,,
QS,28.96,2021/06/25,16:00 EDT,0.5,28.66,29.1,28.11,15032535,,,,,,,
CNC.V,3.41,2021/06/25,15:58 EDT,-0.109999895,3.54,3.54,3.38,86446,,,,,,,
OBSV,3.12,2021/06/25,16:00 EDT,-0.0400002,3.16,3.205,3.11,492632,,,,,,,
BITF.V,4.97,2021/06/25,15:59 EDT,-0.34000015,5.25,5.27,4.93,1216856,,,,,,,
HIVE.V,2.81,2021/06/25,15:59 EDT,-0.10000014,2.86,2.86,2.76,1534826,,,,,,,
NVEI.TO,97.87,2021/06/25,16:00 EDT,-1.8099976,99.55,99.99,96.94,183793,,,,,,,
FSLY,60.64,2021/06/25,16:00 EDT,1.4300003,59.0,60.86,58.33,7250700,,,,,,,
CLSK,16.2,2021/06/25,16:00 EDT,-0.40999985,16.32,16.83,16.045,5321052,,,,,,,
EQX.TO,8.84,2021/06/25,16:00 EDT,-0.18999958,9.14,9.18,8.81,762360,,,,,,,
CRM,241.87,2021/06/25,16:00 EDT,-1.90001,244.19,244.2,240.99,15409267,,,,,,,
VALE,22.68,2021/06/25,16:01 EDT,0.040000916,22.92,23.175,22.67,32446555,,,,,,,
BABA,228.5,2021/06/25,16:00 EDT,10.119995,221.71,230.25,221.1,27383931,,,,,,,
CAT,216.31,2021/06/25,16:00 EDT,-3.03,221.18,221.57,215.28,11274169,,,,,,,
APPS,77.5,2021/06/25,16:00 EDT,-2.0199966,79.69,80.042,77.3,3588766,,,,,,,
CYDY,1.74,2021/06/25,15:59 EDT,-0.01999998,1.79,1.79,1.72,904566,,,,,,,
XLNX,132.12,2021/06/25,16:00 EDT,-1.5900116,134.01,134.05,131.63,2056783,,,,,,,
QCOM,137.65,2021/06/25,16:00 EDT,-0.27000427,138.45,139.47,137.01,7867371,,,,,,,
SPT,89.47,2021/06/25,16:00 EDT,-2.8399963,92.62,93.28,89.18,2482526,,,,,,,
ROKU,430.94,2021/06/25,16:00 EDT,7.360016,426.175,431.975,420.3001,5007392,,,,,,,
SPLK,141.24,2021/06/25,16:00 EDT,1.5100098,141.735,143.24,140.25,3072750,,,,,,,
AMD,85.62,2021/06/25,16:00 EDT,-0.47999573,86.34,86.36,85.1,27804535,,,,,,,
EZA,49.6,2021/06/25,16:00 EDT,0.36999893,49.67,49.7662,49.25,181804,,,,,,,
MCHI,83.02,2021/06/25,16:00 EDT,1.3799973,82.81,83.11,82.43,4143857,,,,,,,
CNRG,102.97,2021/06/25,16:00 EDT,0.91000366,102.49,104.2478,102.49,13505,,,,,,,
