Ticker,Description,Sector,Change %,Market Capitalization,1-Year Beta,Price to Earnings Ratio (TTM),Price to Sales (FY),Price to Book (FY),Yearly Performance
ZIM,ZIM Integrated Shipping Services Ltd.,Transportation,-2.82186949,6336500085.516754,3.2471204,3.38277232,1.70631418,25.48429143,379.13043478
MDP,Meredith Corporation,Consumer Services,-0.92362345,2850169830.182594,1.5127376,8.98327802,0.87995362,3.94557489,337.83359498
M,Macy's Inc,Retail Trade,2.61603376,7532021805.259072,0.8791431,14.63776172,0.40741946,2.88243321,308.05369128
SBLK,Star Bulk Carriers Corp.,Transportation,2.81442392,2390364526.3157434,1.6592962,10.78952363,3.16366829,1.42556858,241.56318481
ASO,"Academy Sports and Outdoors, Inc.",Retail Trade,1.54357635,3997907381.020185,1.3946605,7.64177479,0.67440208,3.45044017,229.17628945
CLF,Cleveland-Cliffs Inc.,Non-Energy Minerals,3.31707317,10584385050.787317,2.2651534,13.45144357,1.48499618,4.8508999,222.86585366
TROX,Tronox Holdings plc,Process Industries,2.28851655,3845698447.753576,2.143592,3.4636998,1.282405,2.068818,215.23929471
X,United States Steel Corporation,Non-Energy Minerals,4.57665904,6172438642.812357,1.8706992,7.19010168,0.44126413,1.27217352,201.45118734
GOGL,Golden Ocean Group Limited,Transportation,-0.75757576,2100355769.8484848,1.6243336,9.49128168,2.49376471,1.10797744,190.30470914
KSS,Kohl's Corporation,Retail Trade,1.59651669,8429916462.844703,1.5515275,11.7499094,0.53202632,1.67608909,187.47433265
NAVI,Navient Corporation,Finance,2.93463762,3885500467.363272,1.656495,4.40790247,1.18720899,1.72212987,180.60606061
ANF,Abercrombie & Fitch Company,Retail Trade,0.95023756,2385159719.417104,1.6356709,9.37675858,0.80035429,2.6641706,173.50948509
CRC,California Resources Corporation,Energy Minerals,-2.13126665,3308748872.5102935,0.5906076,0.90102869,2.13814093,3.0230835,169.4
BBWI,"Bath & Body Works, Inc.",Retail Trade,1.84003561,18143913664.784534,1.2592269,10.34842831,1.59842914,,169.32709311
FBP,First BanCorp. New,Finance,4.21545667,2783487517.318501,1.4769219,13.37300345,3.47627494,1.24854775,153.80228137
CSTM,Constellium SE,Commercial Services,0.7751938,2729675133.0232553,2.1240213,12.00819163,0.4816886,,152.26390686
TPR,"Tapestry, Inc.",Retail Trade,1.62189559,11160647943.459202,1.4238024,13.34776579,1.94336878,3.3838771,141.85765983
SC,Santander Consumer USA Holdings Inc.,Finance,0.02408478,12711745322.493254,1.2623115,4.53260264,1.56240666,2.26058834,141.17305459
COF,Capital One Financial Corporation,Finance,2.16043811,75732272680.96625,1.3155024,6.63096525,2.41314598,1.26681636,137.99242955
STL,Sterling Bancorp,Finance,5.55084746,4800031949.688983,0.9972152,12.99559471,3.99073655,1.02226546,134.55743879
DFS,Discover Financial Services,Finance,0.93838935,39299242354.25283,1.4740223,8.31851046,3.08137652,4.0558314,132.43003897
AN,"AutoNation, Inc.",Retail Trade,0.47649814,8907189131.692778,1.3730567,10.80170985,0.53863825,3.19465078,131.37437233
SLM,SLM Corporation,Finance,1.67691448,5562633150.001678,0.94834906,4.75153382,3.02962063,2.90432451,128.23086575
APA,APA Corporation,Energy Minerals,6.16157006,8792781084.733912,1.5052904,11.79478898,1.86741375,,126.4849075
DKS,Dick's Sporting Goods Inc,Retail Trade,-0.41866484,11589115440.082209,1.1788017,10.95242859,1.26982067,4.76901826,126.29302889
NUE,Nucor Corporation,Non-Energy Minerals,2.97265161,30520733865.14149,1.2990072,10.01299745,1.5196936,2.82727881,124.59476983
LNC,Lincoln National Corporation,Finance,4.90296221,13509806467.102142,1.3718653,9.3896006,0.76599027,0.5806579,124.30577223
IVZ,Invesco Ltd,Finance,2.48596632,11793174268.619083,1.3380255,11.15733906,1.86501585,1.1061368,122.45430809
MS,Morgan Stanley,Finance,2.12807307,191761384448.52008,1.3910904,13.69886719,3.20822068,2.01260563,117.23852832
ALLY,Ally Financial Inc.,Finance,2.38686271,19332248135.864044,1.2398143,6.89160558,1.83470348,1.33453714,114.99599038
ZION,Zions Bancorporation N.A.,Finance,4.38174274,10192611549.85195,1.1450646,9.04369493,3.38587827,1.35060403,114.05718176
CMA,Comerica Incorporated,Finance,4.43651198,10971026591.265682,0.8327479,10.18714529,3.60170548,1.42584765,112.50324254
SNV,Synovus Financial Corp.,Finance,3.89913612,6516825511.580667,1.0233055,10.98148813,2.75909183,1.37116638,110.90047393
ISBC,"Investors Bancorp, Inc.",Finance,3.8277512,3761283319.8516746,0.60977215,11.861521,3.29179862,1.33845049,108.36762689
AIG,"American International Group, Inc. New",Finance,4.05035577,48772197151.59113,1.0816154,11.48502818,1.0894195,0.71682066,106.40608035
STLD,"Steel Dynamics, Inc.",Non-Energy Minerals,3.25868984,12612197394.651571,1.388274,8.91643819,1.32341286,2.904633,106.10406938
JEF,Jefferies Financial Group Inc.,Finance,1.50174309,9350366370.548405,1.3543835,6.65952317,1.57044272,0.99035565,104.81601732
FITB,Fifth Third Bancorp,Finance,5.03493134,30115314993.640087,1.0286335,12.10592318,3.83274113,1.40922532,104.31115276
LPX,Louisiana-Pacific Corporation,Non-Energy Minerals,3.57374919,6071603925.690707,1.441225,5.22225993,2.47299857,5.29994722,103.90150304
GS,"Goldman Sachs Group, Inc. (The)",Finance,2.29243955,135840317913.09924,1.2764904,7.147821,2.66277001,1.58726149,100.83890089
SPWR,SunPower Corporation,Producer Manufacturing,5.81342947,4058642204.861649,1.7926166,9.28413037,3.89108032,9.35702599,100.68376068
SYF,Synchrony Financial,Finance,2.96635477,29464837011.304,1.5630511,8.96468027,2.3135483,2.45130813,100.54284606
WFC,Wells Fargo & Company,Finance,-0.75125209,195300882791.45493,1.3547848,13.76813676,2.41213262,1.21270127,99.66414777
MOS,Mosaic Company (The),Process Industries,2.73284997,13995403586.633577,0.8675156,9.69398789,1.57497011,1.41881404,99.45858148
VLY,Valley National Bancorp,Finance,2.57966616,5497348974.670712,1.1248502,12.43278936,3.42595559,1.21459206,95.65846599
