Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NVDA,224.82,2021/09/23,16:00 EDT,5.4100037,221.4,225.345,218.9011,24855491,,,,,,,
GSY.TO,213.37,2021/09/23,16:00 EDT,4.0599976,211.01,213.75,208.83,63788,,,,,,,
XIT.TO,58.5,2021/09/23,15:59 EDT,0.18999863,58.55,58.61,58.15,12235,,,,,,,
ARKK,119.34,2021/09/23,16:00 EDT,1.2299957,119.31,119.52,118.13,4137746,,,,,,,
LSPD.TO,156.85,2021/09/23,16:00 EDT,-2.0799866,160.94,160.94,153.73,527164,,,,,,,
GLXY.TO,23.14,2021/09/23,16:00 EDT,0.29999924,23.35,23.45,22.99,335959,,,,,,,
CFP.TO,27.71,2021/09/23,16:00 EDT,0.12999916,27.62,28.46,27.1,313422,,,,,,,
BLDP.TO,19.7,2021/09/23,16:00 EDT,-0.13999939,19.86,20.1,19.46,897342,,,,,,,
ASML,879.78,2021/09/23,16:00 EDT,15.040039,877.39,888.72,877.26,744483,,,,,,,
IFP.TO,31.24,2021/09/23,16:00 EDT,0.7399998,30.57,31.86,30.4,589325,,,,,,,
LIT,83.65,2021/09/23,16:00 EDT,1.1300049,83.26,83.86,83.2,566906,,,,,,,
TAN,83.07,2021/09/23,16:00 EDT,-0.1800003,83.77,84.01,82.5285,629315,,,,,,,
TM,182.79,2021/09/23,16:00 EDT,1.199997,181.92,182.9875,181.53,205626,,,,,,,
MAXR.TO,38.0,2021/09/23,16:00 EDT,0.25999832,38.12,38.37,37.56,106961,,,,,,,
GWO.TO,38.45,2021/09/23,16:00 EDT,-0.040000916,38.6,38.77,38.41,781456,,,,,,,
CJT.TO,199.88,2021/09/23,16:00 EDT,2.7799988,196.71,201.19,196.52,71657,,,,,,,
AAPL,146.83,2021/09/23,16:00 EDT,0.9799957,146.65,147.08,145.64,64838170,,,,,,,
MSFT,299.56,2021/09/23,16:00 EDT,0.980011,298.845,300.9,297.5339,18604601,,,,,,,
ZM,276.19,2021/09/23,16:00 EDT,-1.7600098,279.91,280.3592,275.45,2867881,,,,,,,
TSLA,753.64,2021/09/23,16:00 EDT,1.7000122,755.0,758.14,747.95,11947527,,,,,,,
BPY,18.59,2021/07/26,16:00 EDT,-0.049999237,18.61,18.83,18.5202,5400819,,,,,,,
SHOP.TO,1867.25,2021/09/23,16:00 EDT,-4.670044,1865.0,1875.67,1845.0,57071,,,,,,,
