Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
"👆NEW",,,,,,,,,,,,,,,
"👆UP",,,,,,,,,,,,,,,
MCOA,0.006265,2021/06/22,12:07 EDT,-1.3499986E-4,0.0064,0.0066,0.0059,17412326,,,,,,,
BB,13.035,2021/06/22,12:23 EDT,0.23499966,12.77,13.07,12.4,11937193,,,,,,,
CTEK,1.97,2021/06/22,12:17 EDT,0.0,1.98,2.05,1.96,26190,,,,,,,
"👇DOWN",,,,,,,,,,,,,,,
UFAB,3.66,2021/06/22,12:23 EDT,-0.27999997,3.9,3.875,3.6301,31227,,,,,,,
OSAT,5.04,2021/06/22,12:16 EDT,0.0,5.09,5.37,4.93,114865,,,,,,,
PTIX,2.67,2021/06/22,12:20 EDT,-0.099999905,2.8,2.88,2.6417,559925,,,,,,,
WRFX,0.0021,2021/06/22,12:03 EDT,3.5000034E-5,0.0021,0.0022,0.002,15411251,,,,,,,
PCLI,0.0047,2021/06/22,11:09 EDT,-1.00000296E-4,0.00474,0.0049,0.0046,200800,,,,,,,
SENS,3.39,2021/06/22,12:23 EDT,0.16000009,3.11,3.52,3.05,22195504,,,,,,,
PSH.V,0.3,2021/06/22,09:51 EDT,-0.004999995,0.3,0.3,0.3,10000,,,,,,,
ASTS,9.69,2021/06/22,12:23 EDT,0.009999275,9.7,10.05,9.12,1341340,,,,,,,
QEDN,0.0029,2021/06/22,12:07 EDT,1.0000006E-4,0.003,0.0031,0.0028,3380650,,,,,,,
KATX,0.0073,2021/06/22,12:07 EDT,-5.9999945E-4,0.0075,0.008,0.0072,20908032,,,,,,,
