Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
"👆NEW",,,,,,,,,,,,,,,
"👆🙏UP",,,,,,,,,,,,,,,
DOV,174.36,2021/08/31,16:00 EDT,-1.42999,175.69,175.99,174.02,794600,,,,,,,
CMG,1903.33,2021/08/31,16:03 EDT,-12.73999,1924.8,1924.8,1896.05,268329,,,,,,,
HCA,252.98,2021/08/31,16:00 EDT,-0.51001,253.36,257.39,252.07,1820623,,,,,,,
DHR,324.16,2021/08/31,16:04 EDT,-2.850006,328.27,329.47,322.11,2241526,,,,,,,
ETR,110.61,2021/08/31,16:00 EDT,1.25,109.15,110.71,108.71,2852985,,,,,,,
C,71.91,2021/08/31,16:02 EDT,0.2400055,73.0,72.4954,71.325,16321871,,,,,,,
ETN,168.36,2021/08/31,16:00 EDT,-1.85001,169.93,170.2,168.02,1863735,,,,,,,
POW.TO,43.54,2021/08/31,16:00 EDT,-0.07999802,43.55,44.53,43.41,2801749,,,,,,,
WST,451.62,2021/08/31,16:04 EDT,-0.070007324,453.03,456.64,447.79,451565,,,,,,,
CDW,200.61,2021/08/31,16:00 EDT,-0.13000488,200.76,201.35,199.34,889078,,,,,,,
WFC,45.7,2021/08/31,16:02 EDT,-2.709999,48.41,48.99,45.21,71464011,,,,,,,
BIO,804.82,2021/08/31,16:03 EDT,-8.719971,816.78,816.78,797.4,136683,,,,,,,
CSU.TO,2138.19,2021/08/31,16:00 EDT,-7.3901367,2145.64,2164.65,2130.98,30667,,,,,,,
RMD,290.53,2021/08/31,16:00 EDT,1.47,290.02,290.73,287.32,520256,,,,,,,
HOLX,79.15,2021/08/31,16:00 EDT,-0.48999786,79.61,80.4,78.8115,1939133,,,,,,,
CB,183.92,2021/08/31,16:00 EDT,0.0699921,183.56,185.25,182.81,2077469,,,,,,,
IT,308.74,2021/08/31,16:04 EDT,1.5299988,306.67,309.92,305.06,695292,,,,,,,
MET,62.0,2021/08/31,16:00 EDT,0.130001,61.73,62.55,61.53,5289199,,,,,,,
SEDG,289.78,2021/08/31,16:00 EDT,-5.9200134,294.84,296.29,288.195,452660,,,,,,,
HDB,78.31,2021/08/31,16:00 EDT,0.1499939,79.25,79.39,78.17,1635210,,,,,,,
KSU,280.67,2021/08/31,16:00 EDT,-12.89,294.0,295.22,279.0,4821131,,,,,,,
GIL.TO,48.5,2021/08/31,16:00 EDT,-0.15999985,48.8,49.1,48.46,567330,,,,,,,
CHTR,816.66,2021/08/31,16:00 EDT,2.459961,814.67,820.29,810.68,1140294,,,,,,,
KR,46.03,2021/08/31,16:00 EDT,-0.170002,46.29,46.445,45.63,8581641,,,,,,,
ATZ.TO,41.23,2021/08/31,16:00 EDT,0.22000122,41.15,41.24,40.35,252327,,,,,,,
BEN,32.44,2021/08/31,16:00 EDT,0.0200005,32.38,32.58,32.205,2650704,,,,,,,
CARR,57.6,2021/08/31,16:00 EDT,-0.43,58.0,58.01,56.95,4837952,,,,,,,
TRV,159.71,2021/08/31,16:00 EDT,0.270004,158.85,160.8,158.75,1568677,,,,,,,
JPM,159.95,2021/08/31,16:00 EDT,-0.490005,160.44,161.37,159.3564,12340838,,,,,,,
TROW,223.87,2021/08/31,16:00 EDT,1.7599945,222.51,224.04,218.75,805527,,,,,,,
AMP,272.91,2021/08/31,16:04 EDT,0.13000488,272.97,274.495,271.43,496782,,,,,,,
SGEN,167.6,2021/08/31,16:00 EDT,-1.0,170.62,170.89,165.92,737933,,,,,,,
IR,53.02,2021/08/31,16:03 EDT,-0.22999954,53.22,53.42,52.65,1983787,,,,,,,
RF,20.43,2021/08/31,16:00 EDT,0.0900002,20.35,20.63,20.29,8323747,,,,,,,
MS,104.43,2021/08/31,16:03 EDT,0.34000397,104.27,104.71,103.3707,6585159,,,,,,,
PFG,66.81,2021/08/31,16:00 EDT,0.27999878,66.65,67.25,66.31,893812,,,,,,,
NRG,45.67,2021/08/31,16:00 EDT,0.91,44.8,45.8,44.61,2311454,,,,,,,
ODFL,288.72,2021/08/31,16:00 EDT,-4.9200134,293.58,294.765,288.19,733298,,,,,,,
AVY,225.39,2021/08/31,16:02 EDT,-0.55000305,226.06,227.04,224.03,509992,,,,,,,
MSI,244.22,2021/08/31,16:03 EDT,-0.33999634,244.9,244.9,242.408,948702,,,,,,,
BAC,41.75,2021/08/31,16:00 EDT,0.0900002,41.67,42.07,41.36,54627141,,,,,,,
ENGH.TO,61.03,2021/08/31,16:00 EDT,1.0299988,59.99,61.1,59.53,55957,,,,,,,
INTU,566.11,2021/08/31,16:00 EDT,0.539978,567.11,567.11,563.25,1231171,,,,,,,
AIG,54.56,2021/08/31,16:00 EDT,0.540001,53.85,54.82,53.865,5703855,,,,,,,
MELI,1867.45,2021/08/31,16:00 EDT,-11.450073,1890.0,1890.66,1848.22,278551,,,,,,,
BLK,943.29,2021/08/31,16:00 EDT,-4.79004,950.14,953.235,940.08,595023,,,,,,,
BOTZ,36.67,2021/08/31,16:00 EDT,0.069999695,36.81,36.8484,36.605,410387,,,,,,,
UMC,11.37,2021/08/31,16:00 EDT,0.019999504,11.4,11.49,11.3126,6268744,,,,,,,
MPC,59.27,2021/08/31,16:00 EDT,0.34,58.58,59.815,58.52,6464059,,,,,,,
CODX,10.75,2021/08/31,16:00 EDT,-0.069999695,10.85,11.06,10.6,473800,,,,,,,
AMCR,12.85,2021/08/31,16:00 EDT,0.0600004,12.81,12.87,12.7409,7398740,,,,,,,
SE,338.32,2021/08/31,16:00 EDT,6.5,338.0,344.77,330.27,9550392,,,,,,,
"👇🙏DOWN",,,,,,,,,,,,,,,
REGN,673.4,2021/08/31,16:00 EDT,-3.6799927,677.51,681.62,668.44,829695,,,,,,,
CRM,265.27,2021/08/31,16:00 EDT,0.299988,264.77,266.76,262.71,5901518,,,,,,,
ULTA,387.31,2021/08/31,16:00 EDT,4.139984,384.58,387.59,378.18,771413,,,,,,,
