Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NBLY.TO,29.15,2021/08/16,16:00 EDT,-0.39700127,29.02,29.89,29.0,11148,,,,,,,
TCL-A.TO,25.62,2021/08/16,16:00 EDT,-0.049999237,25.71,25.94,25.38,101706,,,,,,,
TRZ.TO,5.02,2021/08/16,16:00 EDT,-0.13999987,5.1,5.16,5.0,227110,,,,,,,
BBD-B.TO,1.62,2021/08/16,16:00 EDT,-0.029999971,1.64,1.65,1.61,2481874,,,,,,,
XERS,2.22,2021/08/16,16:00 EDT,-0.099999905,2.25,2.305,2.21,1460119,,,,,,,
GLXY.TO,22.27,2021/08/16,16:00 EDT,-1.7299995,24.0,24.02,22.12,556381,,,,,,,
RAIL,5.55,2021/08/16,16:00 EDT,0.34000015,5.25,6.09,5.23,2966773,,,,,,,
NBM.V,0.66,2021/08/16,15:59 EDT,0.050000012,0.63,0.67,0.6,340106,,,,,,,
WELL.TO,7.67,2021/08/16,16:00 EDT,-0.3699999,8.04,8.05,7.645,1156198,,,,,,,
BRPHF,17.75,2021/08/16,15:58 EDT,-1.4599991,19.1305,19.41,17.5974,186992,,,,,,,
TSU.TO,47.91,2021/08/16,16:00 EDT,0.45000076,47.45,48.17,46.61,86908,,,,,,,
XLI,105.36,2021/08/16,16:00 EDT,0.360001,104.69,105.37,104.0,10231215,,,,,,,
XLE,48.51,2021/08/16,16:00 EDT,-0.90999985,48.75,48.77,48.08,24087627,,,,,,,
VEA,52.54,2021/08/16,16:00 EDT,-0.29999924,52.43,52.55,52.255,8101068,,,,,,,
KRE,65.67,2021/08/16,16:00 EDT,-0.230003,65.41,65.87,64.7,6891876,,,,,,,
IBM,143.59,2021/08/16,16:00 EDT,0.410004,143.23,143.73,142.23,2786343,,,,,,,
COF,177.32,2021/08/16,16:00 EDT,-0.409988,176.0,177.72,175.28,2115112,,,,,,,
CTXR,1.81,2021/08/16,16:00 EDT,0.0,1.8015,1.8299,1.76,2129393,,,,,,,
MAXR.TO,37.0,2021/08/16,16:00 EDT,-0.9700012,37.93,38.13,36.92,89151,,,,,,,
SID,7.82,2021/08/16,16:00 EDT,-0.2999997,7.87,7.93,7.765,5243797,,,,,,,
RSVA,20.36,2021/07/14,16:00 EDT,-0.71500015,21.3,21.655,20.1,138269,,,,,,,
QS,20.66,2021/08/16,16:00 EDT,-1.0799999,21.75,21.75,20.32,8831862,,,,,,,
CNC.V,2.95,2021/08/16,15:59 EDT,-0.12999988,3.05,3.06,2.95,159574,,,,,,,
OBSV,2.61,2021/08/16,16:00 EDT,-0.02000022,2.61,2.67,2.57,544055,,,,,,,
BITF.V,8.08,2021/08/16,15:59 EDT,-0.47000027,8.59,8.6,8.01,1378563,,,,,,,
HIVE.V,3.72,2021/08/16,15:59 EDT,-0.109999895,3.91,3.95,3.71,1389495,,,,,,,
NVEI.TO,131.29,2021/08/16,16:00 EDT,1.0799866,130.76,133.31,128.27,183060,,,,,,,
FSLY,39.88,2021/08/16,16:00 EDT,-2.2299995,41.6,41.6,39.5,4450245,,,,,,,
CLSK,13.73,2021/08/16,16:00 EDT,-0.19000053,13.88,13.98,13.35,1401499,,,,,,,
EQX.TO,7.94,2021/08/16,16:00 EDT,-0.049999714,8.02,8.11,7.89,599518,,,,,,,
CRM,249.2,2021/08/16,16:00 EDT,-2.36,250.17,251.0,244.47,3902846,,,,,,,
VALE,20.63,2021/08/16,16:00 EDT,-0.010000229,20.42,20.71,20.1801,20468411,,,,,,,
BABA,182.71,2021/08/16,16:00 EDT,-5.9099884,185.0,186.26,181.51,20906615,,,,,,,
CAT,217.71,2021/08/16,16:00 EDT,-0.860001,217.36,217.98,214.34,3134276,,,,,,,
APPS,52.81,2021/08/16,16:00 EDT,-2.1099968,53.6035,56.1699,52.4,4537035,,,,,,,
CYDY,1.39,2021/08/16,15:59 EDT,-0.08500004,1.49,1.52,1.36,1929718,,,,,,,
XLNX,142.64,2021/08/16,16:00 EDT,-3.9900055,146.26,146.27,141.6,1998073,,,,,,,
QCOM,148.13,2021/08/16,16:00 EDT,-0.5099945,148.4,149.07,146.72,4410945,,,,,,,
SPT,101.49,2021/08/16,16:00 EDT,-0.6800003,101.45,101.945,97.97,190346,,,,,,,
ROKU,356.58,2021/08/16,16:00 EDT,-1.0100098,356.86,362.99,344.83,4387041,,,,,,,
SPLK,143.01,2021/08/16,16:00 EDT,-4.450012,147.16,147.58,142.81,1691658,,,,,,,
AMD,107.48,2021/08/16,16:00 EDT,-3.0699997,110.2,111.58,105.865,73398938,,,,,,,
EZA,48.43,2021/08/16,16:00 EDT,-0.020000458,48.09,48.47,48.055,213297,,,,,,,
MCHI,69.84,2021/08/16,16:00 EDT,-1.3600006,70.07,70.14,69.52,2830134,,,,,,,
CNRG,95.31,2021/08/16,15:59 EDT,-1.8500061,96.6,96.6,95.04,19148,,,,,,,
